ZCTA5CE20,buildingCostSum,avgConstructionYear,mainOccupancyType,claimCount
33525,3268188.0,1985.6666666666667,1.0,33
33527,15746582.0,1980.1919191919192,1.0,99
33534,20360315.0,1981.0595238095239,1.0,84
33538,1536985.0,1971.1176470588234,1.0,17
33541,5504415.0,1984.6923076923076,1.0,26
33543,4568743.0,1983.125,1.0,48
33545,841588.0,2010.5,1.0,2
33556,26953141.0,1981.159574468085,1.0,94
33565,4750979.0,1984.3548387096773,1.0,31
33566,2439079.0,1976.7894736842106,1.0,19
33567,3831930.0,1976.6470588235295,11.0,17
33570,1093594384.0,1968.5428571428572,1.0,175
33579,1371824483.0,1983.851851851852,1.0,54
33584,3664951.0,1980.4285714285713,1.0,28
33592,1062596.0,1974.7777777777778,1.0,9
33597,1395181.0,1980.9375,1.0,16
33598,657320.0,1982.3333333333333,1.0,3
33610,35435928.0,1968.9,1.0,60
33611,314647784.0,1961.9651741293533,1.0,1005
33614,65493374.0,1961.5655172413792,1.0,145
33615,82323580.0,1971.125,1.0,352
33618,30551614.0,1974.975,1.0,160
33619,23325696.0,1966.4415584415585,1.0,154
33647,34797018.0,1979.6875,1.0,96
33703,666762752.0,1963.3718220338983,11.0,1888
33708,403389457.0,1958.6927117531188,1.0,1523
33710,35631654.0,1962.9590163934427,1.0,244
33762,25222472.0,1972.7083333333333,1.0,168
33778,1903094645.0,1970.4334975369459,1.0,406
33803,31428634.0,1980.107142857143,1.0,112
33805,2427059.0,1983.0,1.0,23
33809,2949618.0,1987.0666666666666,1.0,30
33810,7694390.0,1979.4791666666667,1.0,48
33813,529545.0,1986.3333333333333,1.0,3
33823,6219032.0,1983.5666666666666,1.0,30
33825,2144339.0,1972.857142857143,1.0,7
33827,2061361.0,1975.1818181818182,1.0,11
33830,3489531.0,1976.0740740740741,1.0,27
33837,1105651.0,1989.3333333333333,1.0,6
33841,1714251.0,1972.4,1.0,10
33843,4569467.0,1982.5,1.0,20
33844,2383408.0,1970.4444444444443,1.0,18
33848,3913109.0,1992.3809523809523,1.0,21
33850,5851291.0,1978.4888888888888,1.0,45
33852,1910061.0,1979.3529411764705,1.0,17
33853,1435869.0,1983.375,1.0,8
33857,1242252.0,1977.8,1.0,10
33860,32893324.0,1981.5882352941176,1.0,17
33865,1722984.0,1978.3076923076924,1.0,13
33868,3288470.0,1989.9130434782608,1.0,23
33870,157008.0,1991.0,1.0,1
33872,16990095.0,1985.8536585365853,1.0,41
33873,6298152.0,1971.05,11.0,20
33875,662113.0,1971.3333333333333,1.0,3
33876,36555346.0,1980.8666666666666,1.0,15
33880,3271792.0,1976.05,1.0,20
33884,10135975.0,1983.8809523809523,1.0,42
33890,10954932.0,1988.5961538461538,11.0,52
33897,300384.0,1999.0,11.0,2
33898,9796987.0,1980.144927536232,1.0,69
33903,783534091.0,1975.2029746281714,11.0,1143
33908,9405144674.0,1985.9149081783962,11.0,8767
33912,321106375.0,1998.2388059701493,11.0,536
33913,324579.0,2014.0,11.0,1
33914,2754747382.0,1984.2268817204301,11.0,2790
33917,1350933103.0,1976.981941309255,11.0,886
33919,1276978155.0,1973.516609392898,11.0,1746
33920,210278881.0,1979.264598540146,11.0,548
33924,19855770.0,1986.5696202531647,11.0,79
33935,1550884.0,1987.2857142857142,1.0,7
33936,1526461.0,1985.0,1.0,8
33944,24960.0,1984.0,1.0,1
33947,256306617.0,1983.89816700611,11.0,491
33952,1087645091.0,1970.9602649006622,11.0,302
33953,37207558.0,1984.2446043165467,11.0,139
33955,6143495.0,1985.04,1.0,25
33956,276273878.0,1986.8188976377953,11.0,889
33960,500479.0,1984.3333333333333,11.0,3
33966,12246076.0,1984.3666666666666,11.0,30
33976,4889739.0,1996.888888888889,1.0,18
33981,48850083.0,1985.9190476190477,11.0,210
33982,1406226662.0,1967.545871559633,1.0,218
33983,41188692.0,1972.1918604651162,1.0,172
33993,172903413.0,1976.7250470809793,11.0,531
34102,2918440196.0,1979.6539094650207,11.0,2430
34103,5961113186.0,1983.8362512873327,11.0,1942
34110,8401593694.0,1986.766917293233,11.0,2660
34113,75842862.0,1981.8603351955308,1.0,179
34114,1082881863.0,1981.4319587628866,11.0,970
34116,24464547.0,1987.4505494505495,1.0,91
34117,6520315.0,1995.5,11.0,20
34119,1409016786.0,1994.4571428571428,11.0,35
34120,2622615.0,1999.3076923076924,1.0,13
34135,1590047378.0,1994.9920844327178,11.0,758
34142,3733197.0,1985.45,1.0,20
34145,1628928765.0,1990.2459016393443,11.0,610
34202,4081951.0,1996.4615384615386,1.0,13
34205,93169072.0,1967.3603818615752,1.0,419
34208,2213578252.0,1962.626334519573,1.0,281
34210,56305185.0,1968.463054187192,1.0,203
34212,302605094.0,1980.2916666666667,1.0,24
34217,70980388.0,1962.4806629834254,1.0,362
34219,2127690.0,1975.9333333333334,1.0,15
34221,12349194.0,1971.607594936709,1.0,79
34223,141816798.0,1975.2244897959183,11.0,441
34229,1368307911.0,1970.8869565217392,1.0,115
34239,2524065660.0,1969.6279569892474,1.0,465
34240,1193546257.0,1983.0375,1.0,80
34241,317850.0,1972.0,1.0,2
34243,52948150.0,1977.5850340136055,1.0,147
34251,9060583.0,1986.68,1.0,50
34266,2105447805.0,1985.662100456621,1.0,219
34269,13366101.0,1975.484375,11.0,64
34286,23694717.0,1997.144578313253,11.0,83
34292,147969824.0,1977.4781609195402,11.0,435
34428,470100514.0,1973.1971214017522,11.0,1598
34429,19249142.0,1977.1985815602836,1.0,141
34431,485604.0,1987.5,1.0,2
34432,3260940.0,1980.425,1.0,40
34433,120800.0,1983.0,1.0,1
34434,2357310.0,1981.7894736842106,1.0,19
34436,261443.0,1987.5714285714287,1.0,7
34442,575855.0,1999.6666666666667,1.0,3
